연번,업체코드,분야,업체명,소재지,대표자,선정년도,23년배정인원,관할청
1,219920087,과학기술원,한국과학기술원,대전광역시 유성구 대학로 291(구성동),이광형,1992,258,대전.충남
2,220000783,과학기술원,한국과학기술원경영대학,서울특별시 동대문구 회기로 85,이광형,2000,KAIST 포함,서울
3,219960178,과학기술원,광주과학기술원,광주광역시 북구 첨단과기로 123,김기선,1996,50,광주.전남
4,220090066,과학기술원,울산과학기술원,울산광역시 울주군 언양읍 유 니스트길 50 (학생팀),이용훈,2009,58,부산
5,220110071,과학기술원,대구경북과학기술원,대구광역시 달성군 현풍읍 테 크노중앙대로 333 (상리 50-1),국양,2011,34,대구.경북
6,219970284,중견기업부설연구소,희림종합건축사사무소건축연구소,"서울특별시 강동구 상일로6길 39(상일동,강동타워 6층)","정영균,이목운, 허철호",1997,1,서울
7,220040304,중견기업부설연구소,휴온스부설연구소,"경기도 안산시 상록구 한양대 학로 55 5,6층(사동, 약학대학)","송수영,윤상배",2004,2,인천
8,220130257,중견기업부설연구소,휴비스 R&D센터,대전광역시 대덕구 신일서로 90,신유동,2013,1,대전.충남
9,220180315,중견기업부설연구소,효성전기(주) 부설기술연구소,"부산광역시 기장군 장안읍 장 안산단9로  190, 1~3층",정진근,2018,미신청,부산
10,219970282,중견기업부설연구소,환인제약중앙연구소,"경기도 수원시 영통구 광교로 107 1층, 4층","이광식,이원범",1997,2,경인
11,220210316,중견기업부설연구소,현대무벡스(주) 기업부설연구소,"인천광역시 서구 파랑로466번 길 15 기술연구소 사무실1층, test room 1,2층",현기봉,2021,2,인천
12,220160215,중견기업부설연구소,해성디에스(주) 기업부설연구소,경상남도 창원시 성산구 웅남 로 726 본부동 3층(성주동),조병학,2016,1,경남
13,220030198,중견기업부설연구소,한올바이오파마(주)서울연구소,"서울특별시 강남구 봉은사로 114길 12,3층(삼성동)","박승국, 정승원",2003,1,서울
14,220200394,중견기업부설연구소,한미정밀화학(주) 부설연구소,"경기도 시흥시 경제로 57 D동 3층,4층,6층,7층,8층",장영길,2020,1,인천
15,219900033,중견기업부설연구소,한미약품제제연구센터,"경기도 수원시 영통구 광교로 147 9층,11층","우종수,권세창",1990,2,경인
16,219880039,중견기업부설연구소,한미약품연구센터,경기도 화성시 동탄기흥로 550,"우종수,권세창",1988,1,경인
17,220150288,중견기업부설연구소,한미약품(주) 바이오 공정연구센터,경기도 평택시 팽성읍 추팔산 단로 114 관리동 3층 바이오공 정연구센터,"우종수,권세창",2015,1,경인
